id,title,cap,match_status,match_method,match_score,source_title,source_url,source_content_hash,scraped_processing_time,scraped_fee,scraped_forms,scraped_agency,risk_flags,reviewer_note
tthc_5568-tinh-11,"Cấp giấy phép vào khu vực cấm, khu vực biên giới cho người nước ngoài tại Công an cấp tỉnh",tinh,matched,exact_title,1.000,"Cấp giấy phép vào khu vực cấm, khu vực biên giới cho người nước ngoài tại Công an cấp tỉnh",https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-giay-phep-vao-khu-vuc-cam-khu-vuc-bien-gioi-1335-17,549f6a69ff88c0946cebea110525f19757dae710bb231f57f218c09e018543ed,"Không quá 05 ngày làm việc kể từ ngày Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ nhận đủ hồ sơ hợp lệ và phí cấp Giấy phép vào khu vực cấm, khu vực biên giới.",10 USD/người,Mẫu-NA15- Cấp giấy phép vào khu vực cấm.doc | mau-na14-xuat-nhap-canh-cong-van-de-nghi-cap-giay-phep-vao-khu-vuc-cam-khu-vuc-bien-gioi-.doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tinh-12,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,tinh,matched,exact_title,1.000,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-giay-phep-xuat-nhap-canh-cho-nguoi-khong-quoc-1327-17,01a5a84275be6a8e33a0e0ccaee6cdbd5985aee06a8300a86196355d722ab34d,"Trong thời hạn 03 ngày làm việc kể từ ngày nhận đủ hồ sơ, Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ xem xét và chuyển hồ sơ đề nghị cấp, cấp lại giấy phép xuất nhập cảnh về Cục Quản lý xuất nhập cảnh. Cục Quản lý xuất nhập cảnh xem xét cấp, cấp lại giấy phép xuất nhập cảnh trong thời hạn 02 ngày làm việc.",200.000đ/lần cấp.,Mẫu-NC14 (Cấp Giấy phép XNC và cấp lại giấy phép XNC).doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tinh-13,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,tinh,matched,exact_title,1.000,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-lai-giay-phep-xuat-nhap-canh-cho-nguoi-khong-1328-17,f7f70a50b694ea697d3deede9677c7ace74f460e8e70e8d2c97294cb38b7d34f,"Trong thời hạn 03 ngày làm việc kể từ ngày nhận đủ hồ sơ, Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ xem xét và chuyển hồ sơ đề nghị cấp, cấp lại giấy phép xuất nhập cảnh về Cục Quản lý xuất nhập cảnh. Cục Quản lý xuất nhập cảnh xem xét cấp, cấp lại giấy phép xuất nhập cảnh trong thời hạn 02 ngày làm việc.",200.000đ/lần cấp.,Mẫu-NC14 (Cấp Giấy phép XNC và cấp lại giấy phép XNC).doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tw-01,Cấp hộ chiếu phổ thông ở trong nước,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-02,Khôi phục giá trị sử dụng hộ chiếu phổ thông,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-03,Trình báo mất hộ chiếu phổ thông,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-04,Cấp Giấy xác nhận nhân sự của công dân Việt Nam ở nước ngoài,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-05,Đăng ký tài khoản điện tử,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-06,Cấp thị thực điện tử theo đề nghị của người nước ngoài,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-07,"Cấp thị thực điện tử theo đề nghị của cơ quan, tổ chức",trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-08,Cấp thị thực cho người nước ngoài tại Việt Nam,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-09,"Kiểm tra, xét duyệt nhân sự, cấp phép nhập cảnh cho người nước ngoài, người Việt Nam định cư ở nước ngoài nhập cảnh vào Việt Nam tại Cục Quản lý xuất nhập cảnh, Bộ Công an",trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-10,"Cấp thẻ tạm trú cho người nước ngoài tại Cục Quản lý xuất nhập cảnh, Bộ Công an",trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-11,Gia hạn tạm trú cho người đã được cấp giấy miễn thị thực,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-12,Gia hạn tạm trú cho người nước ngoài tại Việt Nam,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-13,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-14,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_matt26265,Khai báo tạm trú cho người nước ngoài tại Việt Nam qua Trang thông tin điện tử,xa,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_tinh-01,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam",tinh,review_suggestion,suggested_title,1.000,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam tại Công an cấp tỉnh",https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Xac-nhan-cung-cap-thong-tin-lien-quan-den-xuat-2375-17,e1001498a2c28da5b25eacf9ee950d58f84f8ed816891c9af2e59890b2817f63,05 ngày làm việc kể từ ngày nhận được đơn đề nghị của công dân.,Không,M03b.doc | M04b .doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ.,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_tinh-02,Cấp giấy thông hành biên giới Việt Nam - Lào cho công dân Việt Nam thường trú ở tỉnh có chung đường biên giới với Lào,tinh,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_tinh-03,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,tinh,matched,exact_title,1.000,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-giay-phep-xuat-nhap-canh-cho-nguoi-khong-quoc-1327-17,01a5a84275be6a8e33a0e0ccaee6cdbd5985aee06a8300a86196355d722ab34d,"Trong thời hạn 03 ngày làm việc kể từ ngày nhận đủ hồ sơ, Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ xem xét và chuyển hồ sơ đề nghị cấp, cấp lại giấy phép xuất nhập cảnh về Cục Quản lý xuất nhập cảnh. Cục Quản lý xuất nhập cảnh xem xét cấp, cấp lại giấy phép xuất nhập cảnh trong thời hạn 02 ngày làm việc.",200.000đ/lần cấp.,Mẫu-NC14 (Cấp Giấy phép XNC và cấp lại giấy phép XNC).doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_tinh-04,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,tinh,matched,exact_title,1.000,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-lai-giay-phep-xuat-nhap-canh-cho-nguoi-khong-1328-17,f7f70a50b694ea697d3deede9677c7ace74f460e8e70e8d2c97294cb38b7d34f,"Trong thời hạn 03 ngày làm việc kể từ ngày nhận đủ hồ sơ, Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ xem xét và chuyển hồ sơ đề nghị cấp, cấp lại giấy phép xuất nhập cảnh về Cục Quản lý xuất nhập cảnh. Cục Quản lý xuất nhập cảnh xem xét cấp, cấp lại giấy phép xuất nhập cảnh trong thời hạn 02 ngày làm việc.",200.000đ/lần cấp.,Mẫu-NC14 (Cấp Giấy phép XNC và cấp lại giấy phép XNC).doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_tw-01,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam",trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_tw-02,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_tw-03,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_xa-01,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam",xa,review_suggestion,suggested_title,1.000,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam tại Công an cấp xã",https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Xac-nhan-cung-cap-thong-tin-lien-quan-den-xuat-2456-17,a75968707dcba29784e7a04dd57bc8eaccf7f02f7e3b30210a665fa8a4068b76,05 ngày làm việc kể từ ngày nhận được đơn đề nghị của công dân.,Không.,M03b.doc | M04b .doc,Công an cấp xã,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_xa-02,Cấp giấy thông hành biên giới Việt Nam - Lào cho công dân Việt Nam thường trú ở tỉnh có chung đường biên giới với Lào,xa,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_xa-03,"Cấp giấy thông hành xuất, nhập cảnh vùng biên giới Việt Nam - Trung Quốc cho công dân Việt Nam thường trú tại đơn vị hành chính cấp xã tiếp giáp đường biên giới Việt Nam-Trung Quốc",xa,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_xa-04,"Cấp giấy thông hành xuất, nhập cảnh vùng biên giới Việt Nam - Trung Quốc cho cán bộ, công chức làm việc tại các cơ quan nhà nước có trụ sở đóng tại đơn vị hành chính cấp xã thuộc tỉnh của Việt Nam tiếp giáp đường biên giới Việt Nam - Trung Quốc",xa,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
